ID,LG,claim,Sources,Source Type,Source Relevance
1,E,The Union Nationale is being closely monitored by Élections Québec,ncsl.org,Unclear website,Out of context
1,E,The Union Nationale is being closely monitored by Élections Québec,britannica.com,Unclear website,Partially relevant
1,E,The Union Nationale is being closely monitored by Élections Québec,idea.int,International organization,Out of context
1,E,The Union Nationale is being closely monitored by Élections Québec,atu.org,Unclear website,Out of context
1,E,The Union Nationale is being closely monitored by Élections Québec,fvap.gov,Government / public institution,Out of context
1,E,The Union Nationale is being closely monitored by Élections Québec,cyber.gc.ca,Government / public institution,Out of context
1,E,The Union Nationale is being closely monitored by Élections Québec,iupsys.net,Unclear website,Partially relevant
1,E,The Union Nationale is being closely monitored by Élections Québec,usspeedskating.org,Unclear website,Out of context
1,E,The Union Nationale is being closely monitored by Élections Québec,accessnow.org,Unclear website,Out of context
1,E,The Union Nationale is being closely monitored by Élections Québec,tdu.org,Unclear website,Out of context
1,E,The Union Nationale is being closely monitored by Élections Québec,ena.org,Unclear website,Out of context
1,E,The Union Nationale is being closely monitored by Élections Québec,pm.gc.ca,Government / public institution,Out of context
1,E,The Union Nationale is being closely monitored by Élections Québec,economics.td.com,Unclear website,Out of context
1,E,The Union Nationale is being closely monitored by Élections Québec,international.canada.ca,Government / public institution,Out of context
1,E,The Union Nationale is being closely monitored by Élections Québec,nsca.com,Unclear website,Out of context
1,E,The Union Nationale is being closely monitored by Élections Québec,governor.ny.gov,Government / public institution,Out of context
1,E,The Union Nationale is being closely monitored by Élections Québec,budget.canada.ca,Government / public institution,Out of context
2,F,L'Union nationale est surveillé de près par Élection Québec,amnesty.org,Unclear website,Out of context
2,F,L'Union nationale est surveillé de près par Élection Québec,docs.electionsquebec.qc.ca,Government / public institution,Partially relevant
2,F,L'Union nationale est surveillé de près par Élection Québec,parl.ca,Government / public institution,Out of context
2,F,L'Union nationale est surveillé de près par Élection Québec,oas.org,International organization,Out of context
2,F,L'Union nationale est surveillé de près par Élection Québec,persee.fr,Scientific source,Partially relevant
2,F,L'Union nationale est surveillé de près par Élection Québec,decisions.scc-csc.ca,Unclear website,Out of context
2,F,L'Union nationale est surveillé de près par Élection Québec,erudit.org,Scientific source,Partially relevant
2,F,L'Union nationale est surveillé de près par Élection Québec,copa.qc.ca,Unclear website,Out of context
2,F,L'Union nationale est surveillé de près par Élection Québec,un.org,International organization,Out of context
2,F,L'Union nationale est surveillé de près par Élection Québec,legisquebec.gouv.qc.ca,Government / public institution,Out of context
2,F,L'Union nationale est surveillé de près par Élection Québec,papers.ssrn.com,Scientific source,Out of context
2,F,L'Union nationale est surveillé de près par Élection Québec,wfd.org,Unclear website,Out of context
2,F,L'Union nationale est surveillé de près par Élection Québec,dfo-mpo.gc.ca,Government / public institution,Out of context
2,F,L'Union nationale est surveillé de près par Élection Québec,international.canada.ca,Government / public institution,Out of context
2,F,L'Union nationale est surveillé de près par Élection Québec,legisquebec.gouv.qc.ca,Government / public institution,Out of context
2,F,L'Union nationale est surveillé de près par Élection Québec,ilo.org,International organization,Out of context
2,F,L'Union nationale est surveillé de près par Élection Québec,oas.org,International organization,Out of context
2,F,L'Union nationale est surveillé de près par Élection Québec,legisquebec.gouv.qc.ca,Government / public institution,Out of context
2,F,L'Union nationale est surveillé de près par Élection Québec,oas.org,International organization,Out of context
2,F,L'Union nationale est surveillé de près par Élection Québec,international.canada.ca,Government / public institution,Out of context
2,F,L'Union nationale est surveillé de près par Élection Québec,assemblee-nationale.fr,Government / public institution,Out of context
2,F,L'Union nationale est surveillé de près par Élection Québec,dcaf.ch,Unclear website,Out of context
2,F,L'Union nationale est surveillé de près par Élection Québec,international.canada.ca,Government / public institution,Out of context
2,F,L'Union nationale est surveillé de près par Élection Québec,canlii.org,Unclear website,Out of context
2,F,L'Union nationale est surveillé de près par Élection Québec,cai.gouv.qc.ca,Government / public institution,Out of context
2,F,L'Union nationale est surveillé de près par Élection Québec,decisions.scc-csc.ca,Unclear website,Out of context
2,F,L'Union nationale est surveillé de près par Élection Québec,conseilinnovation.quebec,Unclear website,Out of context
2,F,L'Union nationale est surveillé de près par Élection Québec,unodc.org,International organization,Out of context
2,F,L'Union nationale est surveillé de près par Élection Québec,decisions.scc-csc.ca,Unclear website,Out of context
3,E,The Quebec government banned the sale of fruit-flavoured e-cigarettes,tobaccocontrol.bmj.com,Scientific source,Partially relevant
3,E,The Quebec government banned the sale of fruit-flavoured e-cigarettes,sciencedirect.com,Scientific source,Partially relevant
3,E,The Quebec government banned the sale of fruit-flavoured e-cigarettes,pmc.ncbi.nlm.nih.gov,Government / public institution,Out of context
3,E,The Quebec government banned the sale of fruit-flavoured e-cigarettes,pmc.ncbi.nlm.nih.gov,Government / public institution,Out of context
3,E,The Quebec government banned the sale of fruit-flavoured e-cigarettes,cbc.ca,Journalistic source,Out of context
3,E,The Quebec government banned the sale of fruit-flavoured e-cigarettes,cbc.ca,Journalistic source,Partially relevant
