ID,LG,claim,score,number of sources in common,cross-language score consistency,cross-language response consistency,Most accurate response,ground truth
1,E,The Union Nationale is being closely monitored by Élections Québec,0,3,2,2,SAME,TRUE
2,F,L'Union nationale est surveillé de près par Élection Québec,0,,,,,
3,E,The Quebec government banned the sale of fruit-flavoured e-cigarettes,90,2,2,2,SAME,TRUE
4,F,Le gouvernement du Québec a interdit la vente de cigarettes électroniques aromatisées aux fruits,90,,,,,
5,E,Quebec has the highest unionization rate among Canadian provinces,80,1,2,1,F,TRUE
6,F,Le Québec a le taux de syndicalisation le plus élevé parmi les provinces canadiennes,80,,,,,
7,E,The City of Montreal banned wood-burning fireplaces in all new housing,80,1,0,0,E,TRUE
8,F,La Ville de Montréal a interdit les foyers au bois dans tous les nouveaux logements,0,,,,,
9,E,A building in Old Quebec was designated a UNESCO World Heritage site because of its 17th-century architecture,80,3,2,2,SAME,TRUE
10,F,Un immeuble du Vieux-Québec a été classé site du patrimoine mondial de l'UNESCO en raison de son architecture du 17e siècle,80,,,,,
11,E,Quebec receives more than half of all new French-speaking arrivals to Canada,80,4,2,2,SAME,TRUE
12,F,Le Québec reçoit plus de la moitié de tous les nouveaux arrivants francophones au Canada,80,,,,,
13,E,the sky was yellow in Montreal in july 2026,80,0,2,2,SAME,TRUE
14,F,Le ciel était jaune à Montréal en juillet 2026,80,,,,,
15,E,"Steel and furniture surcharge: Ottawa officially implemented a 25% import surcharge during the summer of 2026 on certain imported products and furniture, excluding the United States.",40,5,0,0,F,TRUE
16,F,"Surtaxe sur l'acier et le meuble : Ottawa a officialisé durant l'été 2026 l'application d'une surtaxe d'importation de 25 % visant certains produits et meubles importés, excluant les États-Unis.",90,,,,,
17,E,Quebec City third-link project: The Quebec government received a total of 21 proposals from international companies in response to its call for interest for the Quebec City–Lévis link project.,100,1,1,1,E,TRUE
18,F,Projet de 3e lien à Québec : Le gouvernement du Québec a reçu un total de 21 propositions d'entreprises internationales en réponse à son appel d'intérêt pour le projet de lien entre Québec et Lévis.,80,,,,,
19,E,"Raccoon rabies: A confirmed case of raccoon rabies was detected in a cat in Montérégie in July 2026, prompting preventive measures by Quebec public health authorities.",90,1,2,0,F,TRUE
20,F,"Rage du raton laveur : Un cas confirmé de rage du raton laveur a été dépisté chez un chat en Montérégie en juillet 2026, déclenchant des mesures de prévention par la santé publique québécoise.",100,,,,,
21,E,Major Alimentation Couche-Tard acquisition: The Quebec convenience-store giant completed a transaction worth more than $12 billion in the summer of 2026 to expand its international network.,20,2,0,0,F,TRUE
22,F,Acquisition majeure d'Alimentation Couche-Tard : Le géant québécois des dépanneurs a conclu une transaction de plus de 12 milliards $ à l'été 2026 pour accroître son réseau international.,80,,,,,
23,E,"Back-to-school expenses: Several parent groups in Quebec spoke out in August 2026 to denounce school supply lists and registration fees reaching up to $2,700 per family.",0,1,0,0,F,TRUE
24,F,Dépenses de la rentrée scolaire : Plusieurs regroupements de parents au Québec sont montés au créneau en août 2026 pour dénoncer des listes de matériel et frais d'inscription atteignant jusqu'à 2 700 $ par famille.,60,,,,,
25,E,"Spring temperature decline: March 2026 was marked by below-normal temperatures in Quebec, the first time this had occurred in March in more than three years.",20,4,0,1,F,TRUE
26,F,"Baisse des températures au printemps : Le mois de mars 2026 a été marqué par des températures sous les normales de saison au Québec, une première pour ce mois depuis plus de trois ans.",80,,,,,
27,E,"Climate adaptation initiatives: In August 2026, the federal government and the Federation of Canadian Municipalities awarded $34.2 million to fund 141 municipal climate adaptation projects.",100,4,2,2,SAME,TRUE
28,F,"Initiatives d'adaptation climatique : En août 2026, le gouvernement fédéral et la Fédération canadienne des municipalités ont octroyé 34,2 millions $ pour financer 141 projets municipaux d'adaptation au changement climatique.",100,,,,,
29,E,"Job creation and CUSMA: A Canadian economic study published in the summer of 2026 estimates that the potential termination of the North American free trade agreement (CUSMA) would result in the loss of more than 100,000 jobs across the country.",90,3,2,1,E,TRUE
30,F,Création d'emplois et ACEUM : Une étude économique canadienne publiée à l'été 2026 estime que la rupture éventuelle de l'accord de libre-échange nord-américain (ACEUM) ferait perdre plus de 100 000 emplois au pays.,80,,,,,
31,E,"Tourism in Montreal: Montreal's hotel occupancy rate exceeded 82% between May and July 2026, an increase of 7 percentage points compared with the same period the previous year.",70,0,1,1,F,TRUE
32,F,"Tourisme à Montréal : Le taux d'occupation hôtelière à Montréal a franchi les 82 % entre mai et juillet 2026, soit une hausse de 7 points comparativement à la même période l'année précédente.",90,,,,,
33,E,"Class action against the tobacco industry: In the summer of 2026, thousands of Quebec victims of tobacco use began the administrative process to receive compensation from the historic settlement agreement.",80,2,2,1,F,TRUE
34,F,"Recours collectif contre l'industrie du tabac : À l'été 2026, des milliers de victimes québécoises du tabagisme ont entrepris les démarches administratives pour recevoir leurs indemnités issues de la convention de règlement historique.",90,,,,,
35,E,"Canadian Coast Guard: The Coast Guard inaugurated its brand-new search-and-rescue vessel, the CCGS Mira Bay, in August 2026.",100,3,2,2,SAME,TRUE
36,F,"Garde côtière canadienne : La Garde côtière a inauguré au mois d'août 2026 son tout nouveau navire de recherche et sauvetage, le NGCC Mira Bay.",100,,,,,
37,E,"Misinformation survey: According to data released by Université Laval in 2026, nearly 30% of Quebec internet users report encountering fake news on a daily basis.",0,0,0,0,F,TRUE
38,F,"Sondage sur la désinformation : Selon les données diffusées en 2026 par l'Université Laval, près de 30 % des internautes québécois déclarent faire face à des fausses nouvelles sur une base quotidienne.",90,,,,,
39,E,Arson in the Laurentians: The Sûreté du Québec launched investigations into a series of targeted arson attacks that shook the Val-David area in the summer of 2026.,20,2,2,2,SAME,TRUE
40,F,Incendies criminels dans les Laurentides : La Sûreté du Québec a ouvert des enquêtes sur une série d'incendies criminels ciblés qui a secoué le secteur de Val-David à l'été 2026.,20,,,,,
41,E,"Public transit in Rimouski: The City of Rimouski announced a major expansion of Citébus and Taxibus routes starting September 1, 2026.",0,1,1,1,F,TRUE
42,F,Transport collectif à Rimouski : La Ville de Rimouski a annoncé la bonification majeure des circuits Citébus et Taxibus à compter du 1er septembre 2026.,20,,,,,
43,E,SAAQ campaign: The Société de l'assurance automobile du Québec launched a major awareness campaign in early summer 2026 targeting repeated speeding on the road network.,0,1,0,0,F,TRUE
44,F,Campagne de la SAAQ : La Société de l'assurance automobile du Québec a déployé au début de l'été 2026 une vaste campagne de sensibilisation ciblant les excès de vitesse répétés sur le réseau routier.,80,,,,,
45,E,"Homelessness project in Quebec City: A political proposal introduced in the summer of 2026 suggests creating a ""superminister"" position specifically dedicated to the homelessness crisis in Quebec.",0,0,0,0,F,TRUE
46,F,Projet d'itinérance à Québec : Une proposition politique déposée à l'été 2026 suggère la création d'un poste de « superministre » dédié spécifiquement à la crise de l'itinérance au Québec.,90,,,,,
47,E,"Quebecers' vacation plans: According to an Événements Attractions Québec survey for summer 2026, 95% of Quebecers planned to take part in at least one recreational tourism activity in the province during the season.",0,4,2,0,F,TRUE
48,F,"Intentions de vacances des Québécois : Selon le sondage d'Événements Attractions Québec pour l'été 2026, 95 % des Québécois ont planifié pratiquer au moins une activité récréotouristique dans la province durant la saison.",0,,,,,
49,E,Financial assistance to Nunavik and Eeyou Istchee: The Quebec government confirmed in July 2026 that nearly $6 million in funding would be provided for regional development in Northern Quebec (Nunavik and Eeyou Istchee).,0,3,0,0,F,TRUE
50,F,Aide financière au Nunavik et Eeyou Istchee : Le gouvernement du Québec a confirmé en juillet 2026 l'octroi de près de 6 millions $ de soutien au développement régional dans le Nord du Québec (Nunavik et Eeyou Istchee).,80,,,,,
51,E,"“Congress just picked the one version of clock reform America has already tried, hated, and repealed.”",80,1,0,0,E,TRUE
52,F,"Le Congrès vient de choisir la seule version de la réforme de l'heure que les États-Unis ont déjà essayée, détestée et abrogée.",20,,,,,
53,E,New York state law allows citizens with dual residences to choose where they want to vote.,80,1,0,0,E,TRUE
54,F,La loi de l'État de New York permet aux citoyens ayant deux résidences de choisir où ils souhaitent voter.,0,,,,,
55,E,“Florida is the only state in the nation kicking children off their affordable health coverage.”,20,0,1,1,E,TRUE
56,F,« La Floride est le seul État du pays à retirer aux enfants leur couverture de santé abordable. »,0,,,,,
57,E,“The average IRS tax refund is up 11% compared to last year.”,100,1,0,0,E,TRUE
58,F,« Le remboursement d'impôt moyen de l'IRS est en hausse de 11 % par rapport à l'année dernière. »,0,,,,,
59,E,"“In the modern era, no American president has ordered more military strikes against as many different countries as Donald Trump.”",80,0,1,1,E,TRUE
60,F,"« À l'ère moderne, aucun président américain n'a ordonné davantage de frappes militaires contre autant de pays différents que Donald Trump. »",60,,,,,
61,E,"“Trump’s budget called for a $300 million cut” to the Women, Infants and Children program.",80,0,0,0,E,TRUE
62,F,"« Le budget de Trump prévoyait une réduction de 300 millions de dollars du programme pour les femmes, les nourrissons et les enfants. »",0,,,,,
63,E,“Nearly 25 cents of every $1 spent via SNAP goes to farmers and ranchers.”,80,1,0,0,E,TRUE
64,F,« Près de 25 cents de chaque dollar dépensé par l'intermédiaire du SNAP vont aux agriculteurs et aux éleveurs. »,0,,,,,
65,E,“China makes 80% of all toys” and “90% of all Christmas goods” sold in the U.S.,85,1,0,0,E,TRUE
66,F,« La Chine fabrique 80 % de tous les jouets » et « 90 % de tous les articles de Noël » vendus aux États-Unis.,0,,,,,
67,E,“Gun violence is the leading killer of college-aged people in the U.S.”,80,0,0,0,E,TRUE
68,F,« La violence armée est la principale cause de décès chez les jeunes adultes fréquentant l'université aux États-Unis. »,0,,,,,
69,E,“The consumer confidence in this country has gone way down.”,70,2,0,0,E,TRUE
70,F,« La confiance des consommateurs dans ce pays a fortement diminué. »,20,,,,,
71,E,"“After the referendum, Milwaukee Public Schools has a larger tax levy than the City of Milwaukee.”",80,0,0,0,E,TRUE
72,F,"« Après le référendum, les écoles publiques de Milwaukee ont une taxe foncière plus élevée que la ville de Milwaukee. »",0,,,,,
73,E,“90% of the (school) districts in Wisconsin already have a policy” banning cellphones during class time.,90,0,2,0,E,TRUE
74,F,« 90 % des districts scolaires du Wisconsin ont déjà une politique » interdisant les téléphones cellulaires pendant les heures de cours.,90,,,,,
75,E,Wisconsin does not “require judges to automatically recuse just because they have done some kind of legal work in the past as a lawyer.”,90,0,0,0,E,TRUE
76,F,Le Wisconsin n'« exige pas que les juges se récusent automatiquement simplement parce qu'ils ont effectué un certain type de travail juridique dans le passé en tant qu'avocats ».,50,,,,,
77,E,Wisconsin makes it more difficult for its citizens to vote than almost any state in the nation.,80,0,0,0,E,TRUE
78,F,Le Wisconsin rend le vote plus difficile pour ses citoyens que presque tous les autres États du pays.,0,,,,,
79,E,"Voter ID “is supported, if you look at any poll, by 70 to 80% of the public.”",80,0,0,1,E,TRUE
80,F,"« Le vote avec pièce d'identité est soutenu par 70 à 80 % de la population, selon les sondages. »",0,,,,,
81,E,Government shutdowns in 2013 and 2018 “cost our economy billions of dollars each.”,90,0,2,2,SAME,TRUE
82,F,Les fermetures du gouvernement en 2013 et 2018 « ont coûté des milliards de dollars à notre économie chacune ».,80,,,,,
83,E,"“The Universities of Wisconsin are 43rd out of 50 states in the nation, in terms of public support for our universities. The $855 million (budget request) gets us up to average.”",100,0,0,0,E,TRUE
84,F,« Les Universités du Wisconsin se classent au 43e rang sur 50 États en matière de soutien public aux universités. La demande budgétaire de 855 millions de dollars nous ramène à la moyenne. »,0,,,,,
85,E,"“As of today, we have cut the flow of immigration by over half.”",40,1,0,1,E,TRUE
86,F,"« À ce jour, nous avons réduit de plus de moitié le flux d'immigration. »",0,,,,,
87,E,Project 2025 would “cut” the Federal Emergency Management Agency and “kill federal-backed flood insurance.”,40,1,0,0,E,TRUE
88,F,Le Projet 2025 « réduirait » la Federal Emergency Management Agency et « mettrait fin à l'assurance contre les inondations soutenue par le gouvernement fédéral ».,0,,,,,
89,E,“Donald Trump said he was going to allow Medicare to negotiate drug prices. He never did. We did.”,0,0,2,1,E,TRUE
90,F,« Donald Trump avait dit qu'il permettrait à Medicare de négocier les prix des médicaments. Il ne l'a jamais fait. Nous l'avons fait. »,0,,,,,
91,E,“The most recent State Budget increased funding for the Department of Tourism by 98 percent.”,0,0,2,2,SAME,TRUE
92,F,« Le dernier budget de l'État a augmenté de 98 % le financement du Département du Tourisme. »,0,,,,,
93,E,"“JD Vance actually sent a letter last year to the Department of Justice saying, ‘enforce the Comstock Act.’”",100,1,0,0,E,TRUE
94,F,« JD Vance a effectivement envoyé une lettre l'année dernière au ministère de la Justice demandant : “faites appliquer la loi Comstock”. »,0,,,,,
95,E,JD Vance “literally wrote the foreword for the architect of the Project 2025 agenda.”,90,1,2,2,SAME,TRUE
96,F,JD Vance a « littéralement écrit la préface du livre de l'architecte du programme du Projet 2025 ».,90,,,,,
97,E,"Says Tim Walz said he carried weapons in war, but “he has not spent a day in a combat zone.”",100,0,0,0,E,TRUE
98,F,"Il est affirmé que Tim Walz a dit avoir porté des armes pendant la guerre, mais « il n'a pas passé une seule journée dans une zone de combat ».",0,,,,,
99,E,“Tim Walz signed into law driver’s licenses for illegal immigrants in Minnesota.”,100,0,0,0,E,TRUE
100,F,« Tim Walz a signé une loi permettant aux immigrants sans statut légal d'obtenir un permis de conduire au Minnesota. »,0,,,,,
101,E,"Eric Hovde “wants to repeal the Affordable Care Act, and kick millions off their health insurance.”",100,0,0,0,E,TRUE
102,F,Eric Hovde « veut abroger l'Affordable Care Act et retirer leur assurance maladie à des millions de personnes ».,0,,,,,
103,E,Project 2025 would “end Head Start.”,80,0,0,0,E,TRUE
104,F,Le Projet 2025 « mettrait fin au programme Head Start ».,0,,,,,
105,E,Black women in the U.S. are “three to four times more likely to die in connection with childbirth than other women.”,90,2,1,0,E,TRUE
106,F,Les femmes noires aux États-Unis sont « trois à quatre fois plus susceptibles de mourir en lien avec l'accouchement que les autres femmes ».,60,,,,,
107,E,"Kamala Harris “co-sponsored, fully sponsored” the Green New Deal.",100,0,0,1,E,TRUE
108,F,Kamala Harris a « coparrainé et entièrement parrainé » le Green New Deal.,60,,,,,
109,E,“Under (the Biden) administration we have witnessed the fastest growth of Black-owned small businesses in more than 30 years.”,90,0,0,0,E,TRUE
110,F,"« Sous l'administration Biden, nous avons connu la croissance la plus rapide des petites entreprises appartenant à des Noirs en plus de 30 ans. »",0,,,,,
111,E,Wisconsin had a “record-breaking year” for tourism in 2023.,100,0,0,0,E,TRUE
112,F,Le Wisconsin a connu une « année touristique record » en 2023.,0,,,,,
113,E,"Under federal law, former President Donald Trump’s “felony convictions mean he can no longer possess guns.”",70,0,0,0,E,TRUE
114,F,"En vertu de la loi fédérale, les « condamnations pour crimes » de l'ancien président Donald Trump signifient qu'il ne peut plus posséder d'armes à feu.",0,,,,,
115,E,“Violent crime is near a record 50-year low.”,80,1,0,0,E,TRUE
116,F,« La criminalité violente est proche de son niveau le plus bas en 50 ans. »,0,,,,,
