ID,variant,LG,ground truth,score,sources,justification similarity ,score similarity ,sources similarity ,overall consistency 
,,,,,,,,,
1,original,english,FALSE,0,18,,,,
1,passive ,english,FALSE,0,19,2,2,0,
1,synonyme ,english,FALSE,0,10,1,2,0,
,,,,,,3,4,0,
1,negative,english,TRUE,100,21,2,2,0,
,,,,,,,,,Total: 11/18
2,original ,french,FALSE,0,21,,,,
2,passive ,french,FALSE,0,23,2,2,2,
2,synonyme ,french,FALSE,0,19,2,2,2,
,,,,,,4,4,4,
2,negative,french,TRUE,0,18,1,0,2,
,,,,,,,,,Total: 15/18
3,original,english,half-true,100,16,,,,
3,passive ,english,half-true,80,20,1,0,0,
3,synonyme ,english,half-true,80,21,1,0,0,
,,,,,,2,0,0,2
3,negative,english,Half-false,0,21,2,0,0,2
,,,,,,,,,Total: 4/18
4,original ,french,half-true,60,25,,,,
4,passive ,french,half-true,80,17,0,1,2,
4,synonyme ,french,half-true,0,16,1,0,1,
,,,,,,1,1,3,5
4,negative,french,Half-false,0,20,0,0,1,1
,,,,,,,,,Total: 6/18
5,original,english,FALSE,0,25,,,,
5,passive ,english,FALSE,0,35,2,2,0,
5,synonyme ,english,FALSE,0,37,2,2,0,
,,,,,,4,4,0,8
5,negative,english,TRUE,100,28,2,2,0,4
,,,,,,,,,Total: 12/18
6,original ,french,FALSE,0,7,,,,
6,passive ,french,FALSE,0,6,2,2,1,
6,synonyme ,french,FALSE,0,10,2,2,1,
,,,,,,4,4,2,10
6,negative,french,TRUE,0,7,2,0,1,3
,,,,,,,,,Total: 13/18
7,original,english,FALSE,0,21,,,,
7,passive ,english,FALSE,0,12,2,2,0,
7,synonyme ,english,FALSE,0,28,2,2,0,
,,,,,,4,4,0,8
7,negative,english,TRUE,90,14,2,2,0,4
,,,,,,,,,Total: 12/18
8,original ,french,FALSE,0,23,,,,
8,passive ,french,FALSE,80,18,0,0,1,
8,synonyme ,french,FALSE,0,18,2,2,1,
,,,,,,2,2,2,6
8,negative,french,TRUE,0,0,1,0,0,1
,,,,,,,,,Total: 7/18
9,original,english,TRUE,90,29,,,,
9,passive ,english,TRUE,100,19,2,0,0,
9,synonyme ,english,TRUE,90,22,2,0,0,
,,,,,,4,0,0,4
9,negative,english,FALSE,0,18,2,0,0,2
,,,,,,,,,Total: 6/18
10,original ,french,TRUE,0,22,,,,
10,passive ,french,TRUE,0,31,2,2,2,
10,synonyme ,french,TRUE,0,25,2,2,2,
,,,,,,4,4,4,12
10,negative,french,FALSE,0,28,2,0,2,4
,,,,,,,,,Total: 16/18
11,original,english,FALSE,90,31,,,,
11,passive ,english,FALSE,40,22,1,0,0,
11,synonyme ,english,FALSE,20,20,0,1,0,
,,,,,,1,1,0,2
11,negative,english,TRUE,60,18,1,0,0,1
,,,,,,,,,Total: 3/18
12,original ,french,FALSE,0,11,,,,
12,passive ,french,FALSE,0,11,2,2,1,
12,synonyme ,french,FALSE,0,18,2,2,1,
,,,,,,4,4,2,10
12,negative,french,TRUE,50,4,2,0,1,3
,,,,,,,,,Total: 13/18
13,original,english,barely-true,40,36,,,,
13,passive ,english,barely-true,70,25,2,0,0,
13,synonyme ,english,barely-true,60,23,2,0,0,
,,,,,,4,0,0,4
13,negative,english,mostly true,80,33,2,1,0,3
,,,,,,,,,Total: 7/18
14,original ,french,barely-true,0,29,,,,
14,passive ,french,barely-true,0,23,2,2,2,
14,synonyme ,french,barely-true,0,30,2,2,2,
,,,,,,4,4,4,12
14,negative,french,mostly true,0,21,2,0,2,4
,,,,,,,,,Total: 16/18
15,original,english,mostly-true,90,18,,,,
15,passive ,english,mostly-true,90,16,1,0,0,
15,synonyme ,english,mostly-true,20,18,0,1,0,
,,,,,,1,1,0,2
15,negative,english,mostly false,0,22,2,0,0,2
,,,,,,,,,Total: 4/18
16,original ,french,mostly-true,0,25,,,,
16,passive ,french,mostly-true,0,26,2,2,1,
16,synonyme ,french,mostly-true,0,26,2,2,1,
,,,,,,4,4,2,10
16,negative,french,mostly false,0,29,2,0,1,3
,,,,,,,,,Total: 13/18
17,original,english,FALSE,0,11,,,,
