ID,LG,claim,score,number of sources in common,cross-language score consistency,cross-language response consistency,Most accurate response,ground truth
1,E,There was vandalism at the Reflecting Pool.,40,0,1.00,1,F,FALSE
2,F,Il y a eu du vandalisme au Reflecting Pool.,20,,,,,
3,E,The U.S. had the highest death rate from COVID of any nation on earth.,0,0,0.00,1,E,FALSE
4,F,Les États-Unis ont eu le taux de mortalité du COVID le plus élevé au monde.,40,,,,,
5,E,The U.S. Congress just voted to merge our military with Israel's military.,10,0,2.00,2,SAME,FALSE
6,F,Le Congrès américain vient de voter la fusion de notre armée avec celle d'Israël.,0,,,,,
7,E,Maine Democratic U.S. Senate candidate Troy Jackson hit a female colleague.,0,0,2.00,2,SAME,FALSE
8,F,"Le candidat démocrate au Sénat du Maine, Troy Jackson, aurait frappé une collègue.",0,,,,,
9,E,U.S. Sen. Jon Ossoff voted against the Laken Riley Act.,0,0,2.00,2,SAME,FALSE
10,F,Le sénateur Jon Ossoff a voté contre le Laken Riley Act.,0,,,,,
11,E,A Michigan Senate primary poll seems to be funded by AIPAC.,0,0,0.00,0,E,FALSE
12,F,Un sondage pour la primaire sénatoriale du Michigan semble être financé par l'AIPAC.,80,,,,,
13,E,A photo showing Mitch McConnell and his wife is from his 2023 hospitalization or is AI generated.,0,0,2.00,2,E,FALSE
14,F,"Une photo de Mitch McConnell et son épouse daterait de son hospitalisation de 2023, ou serait générée par IA.",0,,,,,
15,E,"U.S. Sen. Jon Ossoff cast the deciding vote for the inflation disaster, referring to the 2022 Inflation Reduction Act.",0,0,2.00,2,E,FALSE
16,F,"Le sénateur Jon Ossoff a été le vote décisif du désastre de l'inflation, en référence à la loi de 2022 sur la réduction de l'inflation.",0,,,,,
17,E,Says benefits of the 21st Century ROAD to Housing Act are going to go to a lot of people that are here illegally to build houses for them.,0,0,2.00,2,E,FALSE
18,F,"Les bénéfices du 21st Century ROAD to Housing Act vont profiter à beaucoup de gens présents illégalement, pour leur construire des maisons.",0,,,,,
19,E,"Sen. Susan Collins sided with Trump, giving billionaires and corporations a hand out, paid for by cuts to Medicaid and SNAP.",80,0,0.00,0,NA,FALSE
20,F,"La sénatrice Susan Collins s'est rangée du côté de Trump, offrant un cadeau aux milliardaires et aux entreprises, financé par des coupes dans Medicaid et SNAP.",0,,,,,
21,E,The Obama Presidential Center is requiring photo ID to enter.,0,0,2.00,0,E,FALSE
22,F,Le centre présidentiel Obama exige une pièce d'identité avec photo pour entrer.,0,,,,,
23,E,A 20/30 vision score means people have to be at 20 feet to see things that I can see at 30 feet.,100,0,0.00,0,F,FALSE
24,F,Une vision de 20/30 signifie que les gens doivent être à 20 pieds pour voir ce que je peux voir à 30 pieds.,0,,,,,
25,E,Democratic candidate for U.S. Senate Graham Platner's oyster business is totally fake.,20,0,1.00,1,E,FALSE
26,F,L'entreprise d'huîtres du candidat démocrate au Sénat Graham Platner est totalement fausse.,0,,,,,
27,E,"Los Angeles mayoral candidate Spencer Pratt got 0 out of 24,000 votes in a late night ballot drop.",0,1,2.00,2,E,FALSE
28,F,Le candidat à la mairie de Los Angeles Spencer Pratt a obtenu 0 voix sur 24 000 lors d'un dépôt tardif de bulletins.,0,,,,,
29,E,This video shows a June 2026 earthquake in the Philippines.,90,2,1.00,2,SAME,FALSE
30,F,Cette vidéo montrerait un séisme survenu aux Philippines en juin 2026.,80,,,,,
31,E,Los Angeles mayoral candidate Nithya Raman had conceded the race as of June 7.,0,0,2.00,0,E,FALSE
32,F,La candidate à la mairie de Los Angeles Nithya Raman aurait concédé la course dès le 7 juin.,0,,,,,
33,E,Iowa Democratic U.S. Senate candidate Josh Turek supports sex changes for kids.,30,0,1.00,0,E,FALSE
34,F,Le candidat démocrate au Sénat de l'Iowa Josh Turek soutiendrait les changements de sexe pour les enfants.,0,,,,,
35,E,Says his cognitive test results showed he has extreme intelligence.,0,3,0.00,1,E,FALSE
36,F,Ses résultats à un test cognitif montreraient une intelligence extrême.,50,,,,,
37,E,A video shows workers removing President Donald Trump's name from the Kennedy Center.,95,0,2.00,2,F,FALSE
38,F,Une vidéo montrerait des ouvriers retirant le nom du président Trump du Kennedy Center.,90,,,,,
39,E,El presidente Donald Trump firmó una ley para aumentar el salario mínimo a $25 la hora y entra en vigor el 1 de junio.,0,0,2.00,2,E,FALSE
40,F,"Le président Trump aurait signé une loi portant le salaire minimum à 25 $ de l'heure, entrant en vigueur le 1er juin.",0,,,,,
41,E,Democratic Texas U.S. Senate candidate James Talarico is a vegan.,0,0,2.00,2,E,FALSE
42,F,Le candidat démocrate au Sénat du Texas James Talarico est végane.,0,,,,,
43,E,There's been numerous other occasions over the years when the federal government created a reserve similar to a new $1.776 billion anti-weaponization settlement fund.,60,0,0.00,1,F,FALSE
44,F,"Il y a eu de nombreuses autres occasions, au fil des ans, où le gouvernement fédéral a créé une réserve semblable au nouveau fonds anti-armement de 1,776 milliard de dollars.",0,,,,,
45,E,San Diego mosque shooters identified as trans couple.,0,0,2.00,2,SAME,FALSE
46,F,Les tireurs de la mosquée de San Diego auraient été identifiés comme un couple trans.,0,,,,,
47,E,An American passenger on the cruise ship involved in the hantavirus outbreak is a crisis actor.,0,0,0.00,0,E,FALSE
48,F,Un passager américain du bateau de croisière touché par l'épidémie d'hantavirus serait un acteur de crise.,80,,,,,
49,E,Images show persons infected with Hanta virus,80,1,0.00,0,F,FALSE
