personne,affirmation,contexte,verdict,journaliste,date_publication,lien,page
NA,“There was vandalism” at the Reflecting Pool.,NA,False,NA,NA,https://politifact.com/factchecks/2026/aug/04/donald-trump/jeanine-pirro-reflecting-pool-vandalism/,1
NA,The U.S. “had the highest death rate from COVID of any nation on earth.”,NA,False,NA,NA,https://politifact.com/factchecks/2026/aug/04/robert-f-kennedy-jr/rfk-jr-is-wrong-peru-had-the-highest-covid-19-death-rate-not-the-u-s/,1
NA,The U.S. Congress just “voted to merge our military with Israel’s military.”,NA,False,NA,NA,https://politifact.com/factchecks/2026/jul/29/james-fishback/us-israel-military-merger-ndaa-fishback-florida/,1
NA,Maine Democratic U.S. Senate candidate Troy Jackson hit a female colleague.,NA,False,NA,NA,https://politifact.com/factchecks/2026/jul/28/senate-leadership-fund/troy-jackson-water-bottle-maine-gop-ad/,1
NA,U.S. Sen. Jon Ossoff “voted against the Laken Riley Act.”,NA,False,NA,NA,https://politifact.com/factchecks/2026/jul/28/mike-collins/mike-collins-falsely-says-jon-ossoff-voted-against-the-laken-riley-act/,1
NA,A Michigan Senate primary poll “seems to be funded by AIPAC.”,NA,False,NA,NA,https://politifact.com/factchecks/2026/jul/24/abdul-el-sayed/poll-tavern-research-aipac-haley-stevens/,1
NA,A photo showing Mitch McConnell and his wife is from his 2023 hospitalization or is AI generated.,NA,False,NA,NA,https://politifact.com/factchecks/2026/jul/13/tweets/mitch-mcconnell-rehabilitation-photo-ai-reused/,1
NA,"U.S. Sen. Jon Ossoff “cast the deciding vote for the inflation disaster,” referring to the 2022 Inflation Reduction Act.",NA,False,NA,NA,https://politifact.com/factchecks/2026/jun/29/mike-collins/was-jon-ossoff-the-deciding-vote-in-2022-inflation/,1
NA,Says benefits of the 21st Century ROAD to Housing Act are “going to go to a lot of people that are here illegally to build houses for them.”,NA,False,NA,NA,https://politifact.com/factchecks/2026/jun/26/tommy-tuberville/housing-affordability-bill-congress-immigrants/,1
NA,"Sen. Susan Collins “sided with Trump, giving billionaires and corporations a hand out, paid for by cuts to Medicaid and SNAP.”",NA,False,NA,NA,https://politifact.com/factchecks/2026/jun/25/graham-platner/susan-collins-maine-senate-trump-tax-bill-snap/,1
NA,The Obama Presidential Center is “requiring photo ID to enter.”,NA,False,NA,NA,https://politifact.com/factchecks/2026/jun/23/marsha-blackburn/photo-id-not-required-for-obama-presidential-cente/,1
NA,A 20/30 vision score means “people have to be at 20 feet to see” things that “I can see at 30 feet.”,NA,False,NA,NA,https://politifact.com/factchecks/2026/jun/17/kenzie-annis/love-island-usa-fact-check-is-2030-vision-better-t/,1
NA,Democratic candidate for U.S. Senate Graham Planter’s “oyster business (is) totally fake.”,NA,False,NA,NA,https://politifact.com/factchecks/2026/jun/16/steve-robinson/is-graham-platners-oyster-farm-totally-fake-fact-c/,1
NA,"Los Angeles mayoral candidate Spencer Pratt “got 0 out of 24,000 votes in a late night (Los Angeles) ballot drop.”",NA,False,NA,NA,https://politifact.com/factchecks/2026/jun/08/tweets/spencer-pratt-ballot-dump-zero-votes-24000/,1
NA,This video shows a June 2026 earthquake in the Philippines.,NA,False,NA,NA,https://politifact.com/factchecks/2026/jun/08/tweets/philippines-earthquake-old-video/,1
NA,Los Angeles mayoral candidate Nithya Raman had conceded the race as of June 7.,NA,False,NA,NA,https://politifact.com/factchecks/2026/jun/08/tweets/los-angeles-elections-raman-concede-rigged/,1
NA,Iowa Democratic U.S. Senate candidate Josh Turek supports “sex changes for kids.”,NA,False,NA,NA,https://politifact.com/factchecks/2026/jun/05/ashley-hinson/josh-turek-sex-changes-for-kids-iowa-senate/,1
NA,Says his cognitive test results showed he has “extreme intelligence.”,NA,False,NA,NA,https://politifact.com/factchecks/2026/jun/03/donald-trump/cognitive-test-montreal-intelligence/,1
NA,A video shows workers removing President Donald Trump’s name from the Kennedy Center.,NA,False,NA,NA,https://politifact.com/factchecks/2026/jun/01/social-media/trump-name-removed-kennedy-center-ai/,1
NA,El presidente Donald Trump firmó una ley para aumentar el salario mínimo a $25 la hora y entra en vigor el 1 de junio.,NA,False,NA,NA,https://politifact.com/factchecks/2026/may/28/tiktok-posts/no-ley-salario-minimo-25-trump/,1
NA,Democratic Texas U.S. Senate candidate James Talarico “is a vegan.”,NA,False,NA,NA,https://politifact.com/factchecks/2026/may/27/ken-paxton/in-texas-senate-race-ken-paxton-falsely-claims-jam/,2
NA,“There’s been numerous other occasions over the years” when the federal government created a reserve similar to a new $1.776 billion anti-weaponization settlement fund.,NA,False,NA,NA,https://politifact.com/factchecks/2026/may/20/donald-trump/legal-settlement-fund-weaponization-justice-jan-6/,2
NA,“San Diego mosque shooters identified as trans couple.”,NA,False,NA,NA,https://politifact.com/factchecks/2026/may/20/social-media/no-evidence-san-diego-mosque-suspects-trans/,2
NA,An American passenger on the cruise ship involved in the hantavirus outbreak is a “crisis actor.”,NA,False,NA,NA,https://politifact.com/factchecks/2026/may/14/tweets/hantavirus-quarantine-crisis-actor-rosmarin/,2
NA,Imágenes muestran a personas “infectadas con Hantavirus”.,NA,False,NA,NA,https://politifact.com/factchecks/2026/may/13/tiktok-posts/hantavirus-infectados-imagenes-crucero/,2
NA,"“Today, there are more children sleeping in New York City’s homeless shelters than there are seats in Yankee Stadium.”",NA,False,NA,NA,https://politifact.com/factchecks/2026/may/11/christine-quinn/new-york-city-homeless-children-yankee-stadium/,2
NA,Gasoline prices have “come down very substantially today.”,NA,False,NA,NA,https://politifact.com/factchecks/2026/may/08/donald-trump/gasoline-prices-falling-crude-oil/,2
NA,"Congress passed the 1965 Voting Rights Act because “the Democrat party at the time, especially in the South, were racially gerrymandering districts to disenfranchise Black voters.”",NA,False,NA,NA,https://politifact.com/factchecks/2026/may/08/byron-donalds/florida-voting-rights-act-democrats-gerrymandering/,2
NA,“California only has ‘enough’ oil and gas supply to meet demand for the next six weeks.”,NA,False,NA,NA,https://politifact.com/factchecks/2026/may/07/tweets/california-gasoline-supply-six-weeks/,2
NA,“Consumer confidence is way up.”,NA,False,NA,NA,https://politifact.com/factchecks/2026/may/06/donald-trump/consumer-confidence-sentiment-spending-second-term/,2
NA,"“Under federal law, you cannot engage in partisan gerrymandering.”",NA,False,NA,NA,https://politifact.com/factchecks/2026/may/01/fentrice-driskell/what-does-federal-law-say-about-partisan-gerrymand/,2
NA,Imagen muestra que “950 inmigrantes derrumbaron el muro fronterizo entre México y Estados Unidos intentando ingresar a Estados Unidos” en abril 2026.,NA,False,NA,NA,https://politifact.com/factchecks/2026/apr/30/instagram-posts/muro-fronterizo-inmigrantes-eeuu-mexico-ia/,2
NA,“Secret Service remains unpaid” during the partial government shutdown.,NA,False,NA,NA,https://politifact.com/factchecks/2026/apr/29/tim-scott/secret-service-assassination-shutdown-paychecks/,2
NA,Video shows “unedited raw security footage” of the shooter at the April 25 White House Correspondents’ Association dinner.,NA,False,NA,NA,https://politifact.com/factchecks/2026/apr/29/social-media/correspodents-dinner-shooter-security-footage-ai/,2
NA,"“Tras el atentado a Trump”, en la cena de corresponsales de la Casa Blanca el 25 de abril, “Irán lanza un mensaje fuerte: ‘no le crean nada, miente’”.",NA,False,NA,NA,https://politifact.com/factchecks/2026/apr/28/social-media/iran-trump-tiroteo-cena-casa-blanca/,2
NA,Video shows President Donald Trump at the Walter Reed National Military Medical Center.,NA,False,NA,NA,https://politifact.com/factchecks/2026/apr/21/facebook-posts/trump-walter-reed-ai-video/,2
NA,"Video shows the United States’ April 19, 2026, strike on an Iranian cargo ship.",NA,False,NA,NA,https://politifact.com/factchecks/2026/apr/20/social-media/old-video-us-attack-iran-ship/,2
