ID,LG,Claim,Sources,Source Type,Source Relevance
1,E,There was vandalism at the Reflecting Pool.,reuters.com,Journalistic source,
1,E,There was vandalism at the Reflecting Pool.,npr.org,Journalistic source,
1,E,There was vandalism at the Reflecting Pool.,npr.org,Journalistic source,
1,E,There was vandalism at the Reflecting Pool.,factcheck.org,Journalistic source,
1,E,There was vandalism at the Reflecting Pool.,axios.com,Intermediate media,
1,E,There was vandalism at the Reflecting Pool.,pbs.org,Intermediate media,
1,E,There was vandalism at the Reflecting Pool.,pbs.org,Intermediate media,
1,E,There was vandalism at the Reflecting Pool.,pbs.org,Intermediate media,
1,E,There was vandalism at the Reflecting Pool.,politico.com,Journalistic source,
1,E,There was vandalism at the Reflecting Pool.,nytimes.com,Journalistic source,
1,E,There was vandalism at the Reflecting Pool.,nytimes.com,Journalistic source,
1,E,There was vandalism at the Reflecting Pool.,nytimes.com,Journalistic source,
1,E,There was vandalism at the Reflecting Pool.,cnbc.com,Journalistic source,
1,E,There was vandalism at the Reflecting Pool.,nbcnews.com,Journalistic source,
1,E,There was vandalism at the Reflecting Pool.,nbcwashington.com,Journalistic source,
1,E,There was vandalism at the Reflecting Pool.,theguardian.com,Journalistic source,
1,E,There was vandalism at the Reflecting Pool.,theguardian.com,Journalistic source,
1,E,There was vandalism at the Reflecting Pool.,abcnews.com,Journalistic source,
1,E,There was vandalism at the Reflecting Pool.,abcnews.com,Journalistic source,
1,E,There was vandalism at the Reflecting Pool.,abcnews.com,Journalistic source,
1,E,There was vandalism at the Reflecting Pool.,cnn.com,Journalistic source,
1,E,There was vandalism at the Reflecting Pool.,wbur.org,Podcast description,
1,E,There was vandalism at the Reflecting Pool.,support.trustwave.com,Intermediate media,
1,E,There was vandalism at the Reflecting Pool.,smartsolar.com.tr,Intermediate media,
2,F,Il y a eu du vandalisme au Reflecting Pool.,journaldemontreal.com,Journalistic source,
2,F,Il y a eu du vandalisme au Reflecting Pool.,leparisien.fr,Journalistic source,
2,F,Il y a eu du vandalisme au Reflecting Pool.,tf1info.fr,Journalistic source,Relevant
2,F,Il y a eu du vandalisme au Reflecting Pool.,tf1info.fr,Journalistic source,
2,F,Il y a eu du vandalisme au Reflecting Pool.,tvanouvelles.ca,Journalistic source,
2,F,Il y a eu du vandalisme au Reflecting Pool.,lefigaro.fr,Journalistic source,
2,F,Il y a eu du vandalisme au Reflecting Pool.,letemps.ch,Journalistic source,
2,F,Il y a eu du vandalisme au Reflecting Pool.,gazette.gc.ca,Local organization,
2,F,Il y a eu du vandalisme au Reflecting Pool.,gwa.ac.ma,Intermediate media,
2,F,Il y a eu du vandalisme au Reflecting Pool.,openscholar.uga.edu,Scientific source,
2,F,Il y a eu du vandalisme au Reflecting Pool.,res-urbanae.eu,Journalistic source,Relevant
2,F,Il y a eu du vandalisme au Reflecting Pool.,fr.scribd.com,Journalistic source,Relevant
2,F,Il y a eu du vandalisme au Reflecting Pool.,academia.edu,Scientific source,
2,F,Il y a eu du vandalisme au Reflecting Pool.,revueakofena.com,Journalistic source,Relevant
3,E,The U.S. had the highest death rate from COVID of any nation on earth.,nature.com,Scientific source,
3,E,The U.S. had the highest death rate from COVID of any nation on earth.,cdc.gov,Local organization,
3,E,The U.S. had the highest death rate from COVID of any nation on earth.,cdc.gov,Local organization,
3,E,The U.S. had the highest death rate from COVID of any nation on earth.,sciencedirect.com,Scientific source,
3,E,The U.S. had the highest death rate from COVID of any nation on earth.,sciencedirect.com,Scientific source,
3,E,The U.S. had the highest death rate from COVID of any nation on earth.,worldometers.info,Journalistic source,
3,E,The U.S. had the highest death rate from COVID of any nation on earth.,pubmed.ncbi.nlm.nih.gov,Scientific source,
3,E,The U.S. had the highest death rate from COVID of any nation on earth.,pmc.ncbi.nlm.nih.gov,Scientific source,
3,E,The U.S. had the highest death rate from COVID of any nation on earth.,pmc.ncbi.nlm.nih.gov,Scientific source,
3,E,The U.S. had the highest death rate from COVID of any nation on earth.,politifact.com,Journalistic source,
3,E,The U.S. had the highest death rate from COVID of any nation on earth.,statista.com,Intermediate media,
3,E,The U.S. had the highest death rate from COVID of any nation on earth.,en.wikipedia.org,Intermediate media,
3,E,The U.S. had the highest death rate from COVID of any nation on earth.,data.who.int,Mondial organization,
3,E,The U.S. had the highest death rate from COVID of any nation on earth.,data.who.int,Mondial organization,
3,E,The U.S. had the highest death rate from COVID of any nation on earth.,who.int,Mondial organization,
3,E,The U.S. had the highest death rate from COVID of any nation on earth.,commonwealthfund.org,Local organization,
3,E,The U.S. had the highest death rate from COVID of any nation on earth.,commonwealthfund.org,Local organization,
3,E,The U.S. had the highest death rate from COVID of any nation on earth.,ourworldindata.org,Intermediate media,
3,E,The U.S. had the highest death rate from COVID of any nation on earth.,ourworldindata.org,Intermediate media,
3,E,The U.S. had the highest death rate from COVID of any nation on earth.,ourworldindata.org,Intermediate media,
3,E,The U.S. had the highest death rate from COVID of any nation on earth.,coronavirus.jhu.edu,Scientific source,
3,E,The U.S. had the highest death rate from COVID of any nation on earth.,ec.europa.eu,Mondial organization,
3,E,The U.S. had the highest death rate from COVID of any nation on earth.,healthpolicy-watch.news,Intermediate media,
3,E,The U.S. had the highest death rate from COVID of any nation on earth.,euda.europa.eu,Intermediate media,
4,F,Les États-Unis ont eu le taux de mortalité du COVID le plus élevé au monde.,hia.paho.org,Mondial organization,
4,F,Les États-Unis ont eu le taux de mortalité du COVID le plus élevé au monde.,who.int,Mondial organization,
4,F,Les États-Unis ont eu le taux de mortalité du COVID le plus élevé au monde.,afro.who.int,Outdated,
4,F,Les États-Unis ont eu le taux de mortalité du COVID le plus élevé au monde.,iris.who.int,Journalistic source,Relevant
4,F,Les États-Unis ont eu le taux de mortalité du COVID le plus élevé au monde.,who.int,Mondial organization,
4,F,Les États-Unis ont eu le taux de mortalité du COVID le plus élevé au monde.,data.who.int,Mondial organization,
4,F,Les États-Unis ont eu le taux de mortalité du COVID le plus élevé au monde.,who.int,Journalistic source,Relevant
4,F,Les États-Unis ont eu le taux de mortalité du COVID le plus élevé au monde.,afro.who.int,Mondial organization,
4,F,Les États-Unis ont eu le taux de mortalité du COVID le plus élevé au monde.,afro.who.int,Mondial organization,
4,F,Les États-Unis ont eu le taux de mortalité du COVID le plus élevé au monde.,apps.who.int,Mondial organization,
4,F,Les États-Unis ont eu le taux de mortalité du COVID le plus élevé au monde.,who.int,Mondial organization,
4,F,Les États-Unis ont eu le taux de mortalité du COVID le plus élevé au monde.,afro.who.int,Mondial organization,
4,F,Les États-Unis ont eu le taux de mortalité du COVID le plus élevé au monde.,statistique.quebec.ca,Intermediate media,
4,F,Les États-Unis ont eu le taux de mortalité du COVID le plus élevé au monde.,icn.ch,Intermediate media,
4,F,Les États-Unis ont eu le taux de mortalité du COVID le plus élevé au monde.,globalnutritionreport.org,Intermediate media,
4,F,Les États-Unis ont eu le taux de mortalité du COVID le plus élevé au monde.,unaids.org,Mondial organization,
4,F,Les États-Unis ont eu le taux de mortalité du COVID le plus élevé au monde.,unctad.org,Mondial organization,
4,F,Les États-Unis ont eu le taux de mortalité du COVID le plus élevé au monde.,openknowledge.worldbank.org...,Mondial organization,
4,F,Les États-Unis ont eu le taux de mortalité du COVID le plus élevé au monde.,nitag-resource.org,Intermediate media,
4,F,Les États-Unis ont eu le taux de mortalité du COVID le plus élevé au monde.,banquemondiale.org,Intermediate media,
4,F,Les États-Unis ont eu le taux de mortalité du COVID le plus élevé au monde.,undp.org,Mondial organization,
4,F,Les États-Unis ont eu le taux de mortalité du COVID le plus élevé au monde.,unstats.un.org,Mondial organization,
4,F,Les États-Unis ont eu le taux de mortalité du COVID le plus élevé au monde.,data.gouv.fr,Local organization,
4,F,Les États-Unis ont eu le taux de mortalité du COVID le plus élevé au monde.,normlex.ilo.org,Mondial organization,
4,F,Les États-Unis ont eu le taux de mortalité du COVID le plus élevé au monde.,reliefweb.int,Mondial organization,
5,E,The U.S. Congress just voted to merge our military with Israel's military.,congress.gov,Local organization,
5,E,The U.S. Congress just voted to merge our military with Israel's military.,armedservices.house.gov,Local organization,
5,E,The U.S. Congress just voted to merge our military with Israel's military.,liccardo.house.gov,Local organization,
5,E,The U.S. Congress just voted to merge our military with Israel's military.,rules.house.gov,Local organization,
5,E,The U.S. Congress just voted to merge our military with Israel's military.,pbs.org,Intermediate media,
5,E,The U.S. Congress just voted to merge our military with Israel's military.,aljazeera.com,Journalistic source,
5,E,The U.S. Congress just voted to merge our military with Israel's military.,whitehouse.gov,Local organization,
